City	Division	Lat	Lon
Clermont, Quebec, Canada	North America	47.6910854	-70.220105
Florida Keys, Florida, United States	North America	36.0095232	-99.7971856
East Bay, Nova Scotia, Canada	North America	46.0121827	-60.3843295
Indian River, Prince Edward Island, Canada	North America	46.47714	-63.687276
Mono, Ontario, Canada	North America	44.0033629	-80.0534923
Lake of Bays, Ontario, Canada	North America	45.1811114	-78.9801596
Wadena, Saskatchewan, Canada	North America	51.944507	-103.80147
Guelph, Ontario, Canada	North America	43.5448048	-80.2481666
Bracebridge, Ontario, Canada	North America	45.0389565	-79.3078787
Saint-Lin-Laurentides, Quebec, Canada	North America	45.8524432	-73.7572393
Sainte Agathe des Monts, Quebec, Canada	North America	46.0485628	-74.281603
Marmora, Ontario, Canada	North America	44.482947	-77.682106
Bas-Caraquet, New Brunswick, Canada	North America	47.8006213	-64.8319914
Saguenay, Quebec, Canada	North America	48.4280529	-71.0684923
Houston, British Columbia, Canada	North America	54.3979972	-126.6482087
Austin, Quebec, Canada	North America	45.1840919	-72.2802898
Sainte-Eulalie, Quebec, Canada	North America	46.1020399	-72.2396232
Campbell River, British Columbia, Canada	North America	50.0331226	-125.2733354
Lakeside, Prince Edward Island, Canada	North America	46.4260231	-62.7800562
L'Orignal, Ontario, Canada	North America	45.6192681	-74.6928116
Lansdowne, Ontario, Canada	North America	44.4057559	-76.0182619
Shirley, British Columbia, Canada	North America	48.389275	-123.905092
Burk's Falls, Ontario, Canada	North America	45.619883	-79.408748
Armstrong Station, Ontario, Canada	North America	50.300648	-89.041735
Bluewater, Ontario, Canada	North America	43.483333	-81.6
Bolton, Ontario, Canada	North America	43.8741995	-79.7306602
Pugwash, Nova Scotia, Canada	North America	45.8507229	-63.6602631
Saint-Romain, Quebec, Canada	North America	45.7573366	-71.0500709
Entrelacs, Quebec, Canada	North America	46.1341235	-74.0057907
Carman, Manitoba, Canada	North America	49.5085651	-98.0016988
Petite-Vallee, Quebec, Canada	North America	49.1873166	-65.009607
Foresters Falls, Ontario, Canada	North America	45.6776206	-76.782536
Seven Sisters, Manitoba, Canada	North America	50.105343	-96.014935
Smooth Rock Falls, Ontario, Canada	North America	49.2753423	-81.6208873
L'Isle-aux-Coudres, Quebec, Canada	North America	47.3970824	-70.3654187
Anmore, British Columbia, Canada	North America	49.314625	-122.8556688
Waasis, New Brunswick, Canada	North America	45.828977	-66.578676
Ham-Sud, Quebec, Canada	North America	45.760775	-71.602519
Indian Brook, Nova Scotia, Canada	North America	46.383333	-60.533333
Lower Economy, Nova Scotia, Canada	North America	45.448678	-63.97122
Riviere-au-Tonnerre, Quebec, Canada	North America	50.2751919	-64.768603
Niagara Falls, Ontario, Canada	North America	43.0895577	-79.0849436
Trail, British Columbia, Canada	North America	49.0965676	-117.7117301
Sault Ste. Marie, Ontario, Canada	North America	46.521858	-84.3460896
Mattawa, Ontario, Canada	North America	46.31748	-78.702193
Pinawa, Manitoba, Canada	North America	50.1503346	-95.8798382
Grenfell, Saskatchewan, Canada	North America	50.4113984	-102.9300898
Gravelbourg, Saskatchewan, Canada	North America	49.8756758	-106.5573172
Wasagaming, Manitoba, Canada	North America	50.6578364	-99.963618
Ulyanovsk Oblast, Volga District, Russia	Europe	53.9793357	47.7762425
Draper, Utah, United States	North America	40.5246711	-111.8638226
Southwest Harbor, Maine, United States	North America	44.2798252	-68.3249914
Deer Park, New York, United States	North America	40.7617653	-73.3292857
Slade, Kentucky, United States	North America	37.7950836	-83.7040807
Potlatch, Idaho, United States	North America	46.9215603	-116.8982195
Newbern, Tennessee, United States	North America	36.1128479	-89.2617368
Bangor, Maine, United States	North America	44.8011821	-68.7778138
Jacksonville, North Carolina, United States	North America	34.7540524	-77.4302414
Saint Mary Of The Woods, Indiana, United States	North America	39.5107254	-87.4669729
Eden, Maryland, United States	North America	38.2806755	-75.6510368
Webster City, Iowa, United States	North America	42.4694321	-93.8159149
Beech Mountain, North Carolina, United States	North America	36.2109584	-81.8890031
Decatur, Illinois, United States	North America	39.8403147	-88.9548001
Summerton, South Carolina, United States	North America	33.6082184	-80.3511953
Mount Gilead, North Carolina, United States	North America	35.2148671	-80.0022784
Chautauqua County, New York, United States	North America	42.2312829	-79.560344
Zillah, Washington, United States	North America	46.4020734	-120.2619988
Jamaica, Vermont, United States	North America	43.1003556	-72.7784296
Groton, Connecticut, United States	North America	41.3497456	-72.0790717
East Freetown, Massachusetts, United States	North America	41.7708192	-70.9553359
Red Lake Falls, Minnesota, United States	North America	47.88219	-96.2742143
Farmville, Virginia, United States	North America	37.3020965	-78.3919401
Quantico, Virginia, United States	North America	38.5229229	-77.2900787
Hagerstown, Maryland, United States	North America	39.6417629	-77.7199932
Palm Beach, Florida, United States	North America	26.7056206	-80.0364297
Browntown, Wisconsin, United States	North America	42.5777853	-89.7942882
Beverly Hills, California, United States	North America	34.0736204	-118.4003563
Spindale, North Carolina, United States	North America	35.3601212	-81.929271
Terlingua, Texas, United States	North America	29.321586	-103.6160191
Flovilla, Georgia, United States	North America	33.253734	-83.8985171
Ringoes, New Jersey, United States	North America	40.4289892	-74.8675067
Washington, Utah, United States	North America	37.1305373	-113.5082867
Monon, Indiana, United States	North America	40.8678171	-86.8789044
Eatonton, Georgia, United States	North America	33.3267997	-83.3884961
Skykomish, Washington, United States	North America	47.7092746	-121.3601014
Mount Pleasant, Utah, United States	North America	39.5469073	-111.4554659
Dubois, Wyoming, United States	North America	43.533565	-109.6304335
Kadoka, South Dakota, United States	North America	43.833882	-101.5098658
Longmire, Washington, United States	North America	46.7502405	-121.812778
Halls, Tennessee, United States	North America	35.8756298	-89.3961835
Coon Rapids, Minnesota, United States	North America	45.1732394	-93.3030063
Elephant Butte, New Mexico, United States	North America	33.1770471	-107.2252675
Melrose, Massachusetts, United States	North America	42.4584292	-71.0661633
Stevensville, Maryland, United States	North America	38.9806679	-76.3143999
Old Town, Maine, United States	North America	44.9342349	-68.6453092
Clifftop, West Virginia, United States	North America	38.0042804	-80.9439848
Forestville, New York, United States	North America	42.4683919	-79.1769847
Euless, Texas, United States	North America	32.8370727	-97.0819541
Rudolph, Wisconsin, United States	North America	44.4960752	-89.8076239
Petersburg, Kentucky, United States	North America	39.0687387	-84.8673956
Canonsburg, Pennsylvania, United States	North America	40.2625702	-80.1872797
Dothan, Alabama, United States	North America	31.2232313	-85.3904888
Lancaster, Pennsylvania, United States	North America	40.0378755	-76.3055144
Gouldsboro, Pennsylvania, United States	North America	41.2445293	-75.4560183
Wrentham, Massachusetts, United States	North America	42.0667652	-71.3281114
Alpena, South Dakota, United States	North America	44.1813767	-98.365646
Mapleton, North Dakota, United States	North America	46.8891374	-97.0525872
Roswell, New Mexico, United States	North America	33.3942655	-104.5230242
Camp Springs, Maryland, United States	North America	38.8040027	-76.9066396
New Hampton, Iowa, United States	North America	43.0592724	-92.317864
Cornell, Wisconsin, United States	North America	45.1671881	-91.1493107
Albion, California, United States	North America	39.2232406	-123.7680598
Highland, Wisconsin, United States	North America	43.0466579	-90.3798465
Dufur, Oregon, United States	North America	45.4531754	-121.1306244
Buckingham, Pennsylvania, United States	North America	40.3149535	-75.0494329
Sheridan, Indiana, United States	North America	40.1350375	-86.2205487
American Falls, Idaho, United States	North America	42.7860226	-112.8544377
Childersburg, Alabama, United States	North America	33.2781686	-86.3549774
Fillmore, Utah, United States	North America	38.9638553	-112.3397377
Keystone, South Dakota, United States	North America	43.8955436	-103.4182455
Cudjoe Key, Florida, United States	North America	24.6715318	-81.4984176
Albion, Nebraska, United States	North America	41.6918434	-98.0012091
South Deerfield, Massachusetts, United States	North America	42.4773097	-72.6078667
Shelbyville, Michigan, United States	North America	42.5941998	-85.6372413
Ray, Michigan, United States	North America	42.743032	-82.9286428
Things to Do in Nebraska, Nebraska, United States	North America	41.8359046	-103.7081075
Ogdensburg, New Jersey, United States	North America	41.0817636	-74.5923824
Wheeler, Illinois, United States	North America	39.0467094	-88.3164319
Fall Creek Falls State Park, Tennessee, United States	North America	35.6568255	-85.3479981
Ottawa, Ohio, United States	North America	41.0192185	-84.0471666
Sarver, Pennsylvania, United States	North America	40.7241094	-79.7565197
Saint Charles, Arkansas, United States	North America	34.3729519	-91.1377008
Palmyra, Indiana, United States	North America	38.40784	-86.1099749
Rogers, Ohio, United States	North America	40.7914504	-80.6261832
Ville Platte, Louisiana, United States	North America	30.6879749	-92.2715157
Glorieta, New Mexico, United States	North America	35.5830906	-105.7700174
Kilauea, Hawaii, United States	North America	22.2119444	-159.4122222
Kyle, Texas, United States	North America	29.9891052	-97.8772267
Millstone, New Jersey, United States	North America	40.4992706	-74.5887678
Fairplay, Colorado, United States	North America	39.2247125	-106.0019618
Antioch, California, United States	North America	38.0049214	-121.805789
Marlinton, West Virginia, United States	North America	38.2234533	-80.0945099
Robinson, Texas, United States	North America	31.4676687	-97.1147225
Warsaw, Virginia, United States	North America	37.9587446	-76.7580139
Galien, Michigan, United States	North America	41.7981008	-86.4991852
Des Allemands, Louisiana, United States	North America	29.8238196	-90.4750837
Hancock, Vermont, United States	North America	43.9261192	-72.8412292
Arnolds Park, Iowa, United States	North America	43.3727408	-95.1238841
Forked River, New Jersey, United States	North America	39.8398413	-74.1901399
Providence Forge, Virginia, United States	North America	37.4418131	-77.0435799
Mayville, North Dakota, United States	North America	47.4980408	-97.3245354
Long Beach, California, United States	North America	33.7700504	-118.1937395
Chalmette, Louisiana, United States	North America	29.942783	-89.9635162
Apex, North Carolina, United States	North America	35.732652	-78.8502856
Middle Village, New York, United States	North America	40.717372	-73.87425
Lake Bluff, Illinois, United States	North America	42.2791365	-87.8443151
Bannockburn, Illinois, United States	North America	42.1933581	-87.8664579
Council Grove, Kansas, United States	North America	38.6611187	-96.4919473
Dublin, Virginia, United States	North America	37.1056784	-80.6853433
Richland, New Jersey, United States	North America	39.4914737	-74.8706048
Beaver, Arkansas, United States	North America	36.4736816	-93.7674166
Paris, Texas, United States	North America	33.6609389	-95.555513
Forbes, North Dakota, United States	North America	45.9435847	-98.7820478
Ticonderoga, New York, United States	North America	43.8486707	-73.4234531
Hartland, Wisconsin, United States	North America	43.105008	-88.3420398
Channing, Michigan, United States	North America	46.1416631	-88.0939994
Kaycee, Wyoming, United States	North America	43.7102499	-106.6389338
Columbus, Indiana, United States	North America	39.2014404	-85.9213796
East Hampton, Connecticut, United States	North America	41.5757748	-72.5026249
Steilacoom, Washington, United States	North America	47.1698197	-122.6026274
Westminster, Colorado, United States	North America	39.8366528	-105.0372046
Nyack, New York, United States	North America	41.0906519	-73.9179146
Giddings, Texas, United States	North America	30.1827159	-96.936371
Hammonton, New Jersey, United States	North America	39.6365056	-74.8023853
Higginsville, Missouri, United States	North America	39.0725121	-93.7171621
Happy Valley, Oregon, United States	North America	45.446787	-122.5303688
Jackman, Maine, United States	North America	45.6240392	-70.2521512
Kahakuloa, Hawaii, United States	North America	20.9997222	-156.5538889
Columbus, North Carolina, United States	North America	35.2531698	-82.1970584
Roseville, Minnesota, United States	North America	45.0060767	-93.1566107
Sayner, Wisconsin, United States	North America	45.9860625	-89.5326435
Pahrump, Nevada, United States	North America	36.2082943	-115.9839147
Oak Harbor, Ohio, United States	North America	41.5067173	-83.1465875
Galesburg, Michigan, United States	North America	42.2886529	-85.418056
Virginia Beach, Virginia, United States	North America	36.8529263	-75.977985
Herrick Center, Pennsylvania, United States	North America	41.7420272	-75.4893506
Lynwood, California, United States	North America	33.930293	-118.2114603
Pointe A La Hache, Louisiana, United States	North America	29.5763259	-89.7917328
Crane Hill, Alabama, United States	North America	34.093991	-87.0630624
Ninilchik, Alaska, United States	North America	60.0513889	-151.6688889
Cutler, Maine, United States	North America	44.6575794	-67.2038738
Shoshone, Idaho, United States	North America	42.9360165	-114.4058752
New Glarus, Wisconsin, United States	North America	42.8144473	-89.6351217
Oak Lawn, Illinois, United States	North America	41.719978	-87.7479528
Whittier, North Carolina, United States	North America	35.4361902	-83.3599523
Lytle Creek, California, United States	North America	34.2591728	-117.5000512
Fairhaven, Massachusetts, United States	North America	41.6376043	-70.9036487
Westport, New York, United States	North America	44.1839413	-73.4356831
Hiko, Nevada, United States	North America	37.6282856	-115.2155933
Sandstone, West Virginia, United States	North America	37.7709515	-80.8914786
Baldwin City, Kansas, United States	North America	38.775007	-95.1863603
Willoughby Hills, Ohio, United States	North America	41.5983823	-81.4184471
De Soto, Kansas, United States	North America	38.9791709	-94.9685783
Ridgewood, New York, United States	North America	40.7043986	-73.9018292
Lake Elsinore, California, United States	North America	33.6680772	-117.3272615
Orange Park, Florida, United States	North America	30.1660736	-81.706484
Carsonville, Michigan, United States	North America	43.4269667	-82.6713183
Brownville, Nebraska, United States	North America	40.3977793	-95.6580455
Redondo Beach, California, United States	North America	33.8491816	-118.3884078
Bremen, Georgia, United States	North America	33.7212179	-85.1455036
Scotland, Maryland, United States	North America	38.0890152	-76.3618926
Arrington, Tennessee, United States	North America	35.8681199	-86.7091643
Clermont, Indiana, United States	North America	39.8097656	-86.3224925
Lenhartsville, Pennsylvania, United States	North America	40.5728712	-75.8879807
Geneva, Ohio, United States	North America	41.8050539	-80.9481489
Miramar Beach, Florida, United States	North America	30.374367	-86.3585578
Fayette, Iowa, United States	North America	42.8419255	-91.8021071
South Easton, Massachusetts, United States	North America	42.0467781	-71.0806659
Owensville, Indiana, United States	North America	38.2719894	-87.6878036
Newry, Maine, United States	North America	44.4884245	-70.7885765
Concord, Ohio, United States	North America	41.674491	-81.2245458
Southwest Ranches, Florida, United States	North America	26.0587001	-80.3372733
Rileyville, Virginia, United States	North America	38.7651162	-78.3880612
Bay Harbor Islands, Florida, United States	North America	25.8875948	-80.1311564
Kersey, Colorado, United States	North America	40.387481	-104.5616256
Fairmont, West Virginia, United States	North America	39.4850848	-80.1425781
Thurmont, Maryland, United States	North America	39.6237094	-77.4108201
Evanston, Illinois, United States	North America	42.0450722	-87.6876969
Arlington, Georgia, United States	North America	31.4398976	-84.7249188
Oakdale, Pennsylvania, United States	North America	40.3981246	-80.1856134
Bonaparte, Iowa, United States	North America	40.6980874	-91.8032228
Gassville, Arkansas, United States	North America	36.2831238	-92.4940505
Glen Jean, West Virginia, United States	North America	37.9265014	-81.1501016
Paris, Arkansas, United States	North America	35.2920325	-93.7299173
Penrose, North Carolina, United States	North America	35.2723372	-82.6390121
Soudan, Minnesota, United States	North America	47.8158812	-92.2383876
Bloomfield, New York, United States	North America	42.8972624	-77.4214278
Greenfield, California, United States	North America	36.3207998	-121.2438138
South Hadley, Massachusetts, United States	North America	42.2591729	-72.5747934
Pepperell, Massachusetts, United States	North America	42.6659232	-71.5884363
Monterey, Tennessee, United States	North America	36.1475642	-85.2683021
Earlville, New York, United States	North America	42.7397917	-75.5451804
Three Oaks, Michigan, United States	North America	41.7986545	-86.6105778
Peoa, Utah, United States	North America	40.7251704	-111.3418293
Misquamicut, Rhode Island, United States	North America	41.3224102	-71.8167464
Craig, Montana, United States	North America	47.0743888	-111.9633303
Eden Valley, Minnesota, United States	North America	45.324998	-94.5445145
South Williamson, Kentucky, United States	North America	37.6720458	-82.2840298
Richardson, Texas, United States	North America	32.9483335	-96.7298519
Kane, Pennsylvania, United States	North America	41.6628394	-78.8111427
Oxbow, Oregon, United States	North America	44.9748785	-116.8629359
Port Washington, Wisconsin, United States	North America	43.3872247	-87.875644
Minnesota Lake, Minnesota, United States	North America	43.8419036	-93.8318949
Buena Park, California, United States	North America	33.8675143	-117.9981181
Otsego, Michigan, United States	North America	42.4605904	-85.696406
Weatherly, Pennsylvania, United States	North America	40.9417535	-75.82964
Sturgeon Lake, Minnesota, United States	North America	46.3810573	-92.8238121
Ashtabula, Ohio, United States	North America	41.8650534	-80.7898089
Glenwood City, Wisconsin, United States	North America	45.0585747	-92.1724075
Augusta, Missouri, United States	North America	38.5725523	-90.882081
Angelica, New York, United States	North America	42.3067345	-78.0158388
Nolensville, Tennessee, United States	North America	35.9522852	-86.6694413
Three Rivers, Texas, United States	North America	28.4602717	-98.1825071
Glenwood, New Mexico, United States	North America	33.3167293	-108.8831188
Mexico, Maine, United States	North America	44.5571093	-70.5433579
Maxwell, Nebraska, United States	North America	41.0785928	-100.5252843
Nags Head, North Carolina, United States	North America	35.9573922	-75.6240619
Manville, New Jersey, United States	North America	40.5409367	-74.5876569
Karnes City, Texas, United States	North America	28.8849772	-97.9008355
Wampum, Pennsylvania, United States	North America	40.8881184	-80.3381195
Princeton Junction, New Jersey, United States	North America	40.3173301	-74.6198791
Pocahontas, Illinois, United States	North America	38.8278248	-89.5400849
Donald, Oregon, United States	North America	45.2223418	-122.8392624
Isla Vista, California, United States	North America	34.4133292	-119.8609718
Nesconset, New York, United States	North America	40.8520426	-73.1540004
Fountain Inn, South Carolina, United States	North America	34.6890095	-82.1956679
Phoenix, Maryland, United States	North America	39.51291	-76.6074575
Beloit, Kansas, United States	North America	39.4561178	-98.1061595
Alpaugh, California, United States	North America	35.8877316	-119.4873422
Dalton, Pennsylvania, United States	North America	41.5342441	-75.7360253
Argyle, Minnesota, United States	North America	48.3327553	-96.8208949
Hancock, Michigan, United States	North America	47.1268714	-88.5809563
Vestavia Hills, Alabama, United States	North America	33.4487183	-86.7877668
Forest Knolls, California, United States	North America	38.0163114	-122.6898986
Vicksburg, Mississippi, United States	North America	32.3526456	-90.877882
West Chester, Pennsylvania, United States	North America	39.9606643	-75.6054882
Kaktovik, Alaska, United States	North America	70.1319444	-143.6238889
Mechanicsburg, Ohio, United States	North America	40.0720039	-83.5563133
Vanceboro, North Carolina, United States	North America	35.3084953	-77.1541194
Blaine, Washington, United States	North America	48.993723	-122.7471191
Orrtanna, Pennsylvania, United States	North America	39.8450942	-77.3608196
Lancaster, New Hampshire, United States	North America	44.4889204	-71.5692477
Mexico Beach, Florida, United States	North America	29.9479833	-85.4179766
Harrisburg, Pennsylvania, United States	North America	40.2731911	-76.8867008
Panacea, Florida, United States	North America	30.0291195	-84.3986166
Columbia, Illinois, United States	North America	38.4436637	-90.2012239
Sugar Grove, Ohio, United States	North America	39.6264539	-82.5484932
Wausau, Wisconsin, United States	North America	44.9591352	-89.6301221
White City, Oregon, United States	North America	42.431618	-122.8354426
Moore, Oklahoma, United States	North America	35.3395079	-97.4867028
Tuolumne, California, United States	North America	37.9627027	-120.2412999
Mill Neck, New York, United States	North America	40.8870431	-73.5551246
Wilmington, New York, United States	North America	44.3886137	-73.8154356
Sugar Grove, West Virginia, United States	North America	38.5110091	-79.3219597
Los Altos, California, United States	North America	37.3852183	-122.1141298
Borre, Moen, Denmark	Europe	54.9958554	12.4431776
Mansonville, Quebec, Canada	North America	45.049737	-72.391992
Markdale, Ontario, Canada	North America	44.3186787	-80.6478828
Pitt Meadows, British Columbia, Canada	North America	49.2190648	-122.6895165
Kearney, Ontario, Canada	North America	45.556352	-79.2235611
Klemtu, British Columbia, Canada	North America	52.5936331	-128.5241004
Forteau, Newfoundland and Labrador, Canada	North America	51.47846	-56.957563
Grand Etang, Nova Scotia, Canada	North America	46.55	-61.033333
McKellar, Ontario, Canada	North America	45.4712069	-79.8497018
Whycocomagh, Nova Scotia, Canada	North America	45.9751009	-61.1215811
Montpellier, Quebec, Canada	North America	45.9251244	-75.2534886
Prince George, British Columbia, Canada	North America	53.9170641	-122.7496693
Gananoque, Ontario, Canada	North America	44.330618	-76.161864
Gogama, Ontario, Canada	North America	47.67449	-81.723429
Fort St. John, British Columbia, Canada	North America	56.252423	-120.846409
Happy Valley-Goose Bay, Newfoundland and Labrador, Canada	North America	53.3016826	-60.3260842
Leduc, Alberta, Canada	North America	53.2580126	-113.5502217
Cap-Pele, New Brunswick, Canada	North America	46.231764	-64.2677704
Water Valley, Alberta, Canada	North America	51.503704	-114.610695
Saint Lawrence, Newfoundland and Labrador, Canada	North America	46.925167	-55.395229
Peachland, British Columbia, Canada	North America	49.7702994	-119.7407899
Ingersoll, Ontario, Canada	North America	43.0381628	-80.884049
West Bay, Nova Scotia, Canada	North America	45.7026346	-61.1610939
Cremona, Alberta, Canada	North America	51.5451035	-114.4900952
Desbiens, Quebec, Canada	North America	48.4177323	-71.9489606
Port Renfrew, British Columbia, Canada	North America	48.552966	-124.422299
Sherwood Park, Alberta, Canada	North America	53.5412083	-113.2957365
Sainte-Rose-du-Nord, Quebec, Canada	North America	48.3972399	-70.6813426
Oshawa, Ontario, Canada	North America	43.8970929	-78.8657912
Campbellville, Ontario, Canada	North America	43.4881366	-79.9838061
Rothesay, New Brunswick, Canada	North America	45.3888261	-65.9942973
Beaverlodge, Alberta, Canada	North America	55.213974	-119.423302
Kingsclear, New Brunswick, Canada	North America	45.886642	-66.907084
Killarney, Manitoba, Canada	North America	49.181664	-99.664952
Mayerthorpe, Alberta, Canada	North America	53.9525013	-115.1397259
Wandering River, Alberta, Canada	North America	55.201392	-112.465214
Maryhill, Ontario, Canada	North America	43.534516	-80.3906669
Kerrobert, Saskatchewan, Canada	North America	51.9185447	-109.136794
Saint Margarets, Prince Edward Island, Canada	North America	46.45436	-62.381012
Kimberley, Ontario, Canada	North America	44.383333	-80.533333
Borden, Saskatchewan, Canada	North America	52.4050451	-107.2396555
Ingonish, Nova Scotia, Canada	North America	46.64083	-60.403964
West Hawk Lake, Manitoba, Canada	North America	49.764563	-95.1841172
Notre-Dame-des-Monts, Quebec, Canada	North America	47.6587871	-70.4030407
Allenford, Ontario, Canada	North America	44.536986	-81.178444
Shemogue, New Brunswick, Canada	North America	46.155472	-64.188306
Bishop's Falls, Newfoundland and Labrador, Canada	North America	49.0138869	-55.487801
Piopolis, Quebec, Canada	North America	45.4755038	-70.9482422
Elliot Lake, Ontario, Canada	North America	46.386179	-82.650941
Sainte Brigitte de Laval, Quebec, Canada	North America	47.002378	-71.1942119
Nigadoo, New Brunswick, Canada	North America	47.7395349	-65.7126953
Cox's Cove, Newfoundland and Labrador, Canada	North America	49.116498	-58.075726
Fort Vermilion, Alberta, Canada	North America	58.3873325	-116.0197006
Sainte-Melanie, Quebec, Canada	North America	46.1445113	-73.5379919
Saint Aime Des Lacs, Quebec, Canada	North America	47.6903516	-70.350327
Riviere-Madeleine, Quebec, Canada	North America	49.239531	-65.302734
L'Anse Amour, Newfoundland and Labrador, Canada	North America	51.46787	-56.871684
Kincardine, Ontario, Canada	North America	44.2759345	-81.5596427
McLennan, Alberta, Canada	North America	55.7117851	-116.9099808
Turkey Point, Ontario, Canada	North America	42.680986	-80.332176
Kingsville, Ontario, Canada	North America	42.0362841	-82.7389809
Kamouraska, Quebec, Canada	North America	47.566059	-69.865995
Sayward, British Columbia, Canada	North America	50.383718	-125.960212
Headingley, Manitoba, Canada	North America	49.8870139	-97.377247
Dildo, Newfoundland and Labrador, Canada	North America	47.5706202	-53.5555661
Peterborough, Ontario, Canada	North America	44.309058	-78.319747
Kitimat, British Columbia, Canada	North America	54.049366	-128.6283528
Eganville, Ontario, Canada	North America	45.539935	-77.1010788
Stella, Ontario, Canada	North America	44.170086	-76.7010169
Saint-Faustin-Lac-Carre, Quebec, Canada	North America	46.092449	-74.4733252
Harbour Breton, Newfoundland and Labrador, Canada	North America	47.4774987	-55.8258748
Summerland, British Columbia, Canada	North America	49.6073297	-119.6768815
Eastman, Quebec, Canada	North America	45.301296	-72.315042
St. Andrews, Manitoba, Canada	North America	50.2625413	-96.9841797
Battleford, Saskatchewan, Canada	North America	52.7362682	-108.3052431
Tappen, British Columbia, Canada	North America	50.782998	-119.334404
Lambton, Quebec, Canada	North America	45.8406595	-71.0890802
Port Perry, Ontario, Canada	North America	44.1050454	-78.944148
Riverside Albert, New Brunswick, Canada	North America	45.7492949	-64.738664
Kimmirut, Nunavut, Canada	North America	62.847419	-69.869203
Calabogie, Ontario, Canada	North America	45.299295	-76.721166
Canning, Nova Scotia, Canada	North America	45.1604308	-64.4282179
Manitoulin Island, Ontario, Canada	North America	45.7026471	-82.0371761
Harcourt, Ontario, Canada	North America	45.085751	-78.151221
Woodstock, Ontario, Canada	North America	43.1314966	-80.7471651
Latchford, Ontario, Canada	North America	47.329887	-79.811053
Spaniard's Bay, Newfoundland and Labrador, Canada	North America	47.6128498	-53.2794249
High River, Alberta, Canada	North America	50.5801021	-113.8707312
Routhierville, Quebec, Canada	North America	48.1429438	-67.0778958
Harvey, New Brunswick, Canada	North America	45.7297822	-67.0065717
Saint-Charles-Borromee, Quebec, Canada	North America	46.048522	-73.4626679
Agassiz, British Columbia, Canada	North America	49.2389409	-121.7658827
Ganges, British Columbia, Canada	North America	48.8544259	-123.5005072
Wolfe Island, Ontario, Canada	North America	44.1758657	-76.3984537
Baie Sainte-Catherine, Quebec, Canada	North America	48.07634	-69.8104594
Stanley Bridge, Prince Edward Island, Canada	North America	46.461958	-63.453724
Dorval, Quebec, Canada	North America	45.4503213	-73.7500485
Ile du Havre aux Maisons, Quebec, Canada	North America	47.4600248	-61.7571718
La Martre, Quebec, Canada	North America	49.1240007	-66.202894
Provost, Alberta, Canada	North America	52.3559533	-110.2607913
Stonewall, Manitoba, Canada	North America	50.1351544	-97.3273965
Manitou Beach, Saskatchewan, Canada	North America	51.719696	-105.443033
New Carlisle, Quebec, Canada	North America	48.0097226	-65.3338139
Boissevain, Manitoba, Canada	North America	49.2304365	-100.0595039
High Level, Alberta, Canada	North America	58.516354	-117.13516
Glenboro, Manitoba, Canada	North America	49.5580017	-99.2891025
Port aux Basques, Newfoundland and Labrador, Canada	North America	47.5721149	-59.136429
North Bay, Ontario, Canada	North America	46.3091152	-79.4608204
South River, Ontario, Canada	North America	45.8410378	-79.3795728
Witless Bay, Newfoundland and Labrador, Canada	North America	47.2826676	-52.8325042
Stanstead, Quebec, Canada	North America	45.0126146	-72.0957682
